All,සියලුම
"A product type is not defined for the indexer.","දර්ශක සඳහා නිෂ්පාදන වර්ගයක් අර්ථ දක්වා නැත."
"Price indexer ""%1"" must implement %2 or %3","මිල දර්ශක ""%1"" %2 හෝ %3ක්‍රියාත්මක කළ යුතුය"
"Product with SKU %1 is not linked to product with SKU %2","SKU %1 සමඟ නිෂ්පාදනය SKU %2සමඟ ඇති නිෂ්පාදනයට සම්බන්ධ නොවේ"
Dropdown,පතන
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 \Magento\Framework\Filter\Template දිගු නොකරයි"
"Could not get extension attributes","දිගු ගුණාංග ලබා ගැනීමට නොහැකි විය"
"HTML is invalid","HTML වලංගු නැත"
message,පණිවුඩය
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","ඉල්ලූ නිෂ්පාදනය නොපවතී. නිෂ්පාදනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","වලංගු නොවන ගුණාංග මිල = %pසහල්. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","ඉල්ලූ ගබඩාව හමු නොවේ. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","වලංගු නොවන ගුණාංගය %label = %priceTo. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Lock wait timeout","අගුළු පොරොත්තු කාලය අවසන්"
"Category with ID: %s doesn't exist","ID සහිත ප්‍රවර්ගය: %s නොපවතී"
"Product Name or SKU","නිෂ්පාදන නම හෝ SKU"
"Start typing to find products","නිෂ්පාදන සොයා ගැනීමට ටයිප් කිරීම ආරම්භ කරන්න"
"Product with ID: %s doesn't exist","ID සහිත නිෂ්පාදනය: %s නොපවතී"
"Advanced Pricing","උසස් මිලකරණය"
"Customer Group Price","පාරිභෝගික කණ්ඩායම් මිල"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Special Price From","විශේෂ මිල සිට"
"Product Alerts","නිෂ්පාදන ඇඟවීම්"
"Alert stock","අනතුරු ඇඟවීමේ තොගය"
"Alert Stock","ඇඟවීම් තොගය"
"Alert price","අනතුරු ඇඟවීමේ මිල"
"Alert Price","අනතුරු ඇඟවීමේ මිල"
"Select Attribute","Attribute තෝරන්න"
"Create New Attribute","නව ගුණාංගයක් සාදන්න"
"Customizable Options","අභිරුචිකරණය කළ හැකි විකල්ප"
"Custom options let customers choose the product variations they want.","අභිරුචි විකල්ප පාරිභෝගිකයින්ට ඔවුන්ට අවශ්‍ය නිෂ්පාදන වෙනස්කම් තෝරා ගැනීමට ඉඩ දෙයි."
"Select Product","නිෂ්පාදනය තෝරන්න"
"Add Value","අගය එකතු"
"Option Type","විකල්ප වර්ගය"
"Max Characters","උපරිම චරිත"
"Compatible File Extensions","අනුකූල ගොනු දිගු"
"Enter separated extensions, like: png, jpg, gif.","වෙන් කළ දිගු ඇතුළත් කරන්න, වැනි: png, jpg, gif."
"Maximum Image Size","උපරිම රූප ප්‍රමාණය"
"Please leave blank if it is not an image.","එය රූපයක් නොවේ නම් කරුණාකර හිස්ව තබන්න."
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 WysiwygConfigDataProcessorInterface ක්‍රියාත්මක නොකරයි. එය මඟ හරිනු ඇත"
"This item has weight","මෙම අයිතමයේ බර ඇත"
"This item has no weight","මෙම අයිතමයට බරක් නොමැත"
"Set Product as New From","නිෂ්පාදනය නව ලෙස සකසන්න"
"Related Products, Up-Sells, and Cross-Sells","අදාළ නිෂ්පාදන, ඉහළ-විකුණුම්, සහ හරස්-විකිණුම්"
"Related products are shown to customers in addition to the item the customer is looking at.","පාරිභෝගිකයා බලන අයිතමයට අමතරව අදාළ නිෂ්පාදන පාරිභෝගිකයින්ට පෙන්වනු ලැබේ."
"Add Related Products","අදාළ නිෂ්පාදන එකතු කරන්න"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","පාරිභෝගිකයා බලා සිටින නිෂ්පාදනයට වඩා මිල අධික හෝ උසස් තත්ත්වයේ විකල්පයක් ලෙස ඉහළ-විකිණුම් අයිතමයක් පාරිභෝගිකයාට පිරිනමනු ලැබේ."
"Add Up-Sell Products","ඉහළ විකුණුම් නිෂ්පාදන එකතු කරන්න"
"Up-Sell Products","ඉහළ විකුණුම් නිෂ්පාදන"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","මෙම ""ආවේගය-මිලදී ගැනීම"" නිෂ්පාදන දැනටමත් සාප්පු කරත්තයේ ඇති අයිතමවලට හරස් ලෙස විකුණන ලෙස සාප්පු කරත්තය අසල දිස්වේ."
"Add Cross-Sell Products","හරස් විකුණුම් නිෂ්පාදන එකතු කරන්න"
"Cross-Sell Products","හරස් විකුණුම් නිෂ්පාදන"
"Schedule Update From","සිට යාවත්කාලීන කාලසටහන"
"Product in Websites","වෙබ් අඩවි වල නිෂ්පාදන"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","ඔබේ Magento ස්ථාපනයට වෙබ් අඩවි කිහිපයක් තිබේ නම්, ඔබට නිශ්චිත වෙබ් අඩවිවල නිෂ්පාදනය භාවිතා කිරීමට විෂය පථය සංස්කරණය කළ හැක."
name,නාමය
"Copy Data from","වෙතින් දත්ත පිටපත් කරන්න"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","අභිරුචි මාපිය ප්‍රවර්ග නොමැති නම්, කරුණාකර පෙරනිමි මාපිය ප්‍රවර්ගය භාවිතා කරන්න. ඔබට ඕනෑම වේලාවක නිෂ්පාදන <a href=""%1"" target=""_blank""> &gt; ප්‍රවර්ග</a>තුළ ප්‍රවර්ගය නැවත පැවරිය හැක."
"Collapse All","සියල්ල හකුලන්න"
"Expand All","සියල්ල පුළුල් කරන්න"
"Please confirm site switching. All data that hasn't been saved will be lost.","කරුණාකර අඩවි මාරු කිරීම තහවුරු කරන්න. සුරැකී නැති සියලුම දත්ත නැති වී යයි."
"Manage Titles (Size, Color, etc.)","මාතෘකා කළමනාකරණය කරන්න (ප්‍රමාණය, වර්ණය, ආදිය)"
"Manage Options (Values of Your Attribute)","විකල්ප කළමනාකරණය කරන්න (ඔබේ ගුණාංගයේ අගයන්)"
"Sort Option","වර්ග කිරීමේ විකල්පය"
"The value of Admin must be unique.","පරිපාලකගේ වටිනාකම අද්විතීය විය යුතුය."
Groups,කණ්ඩායම්
"Double click on a group to rename it.","එය නැවත නම් කිරීමට කණ්ඩායමක් මත දෙවරක් ක්ලික් කරන්න."
"Unassigned Attributes","පවරා නොදුන් ගුණාංග"
"This group contains system attributes. Please move system attributes to another group and try again.","මෙම සමූහයේ පද්ධති ගුණාංග අඩංගු වේ. කරුණාකර පද්ධති උපලක්ෂණ වෙනත් කණ්ඩායමකට ගෙන ගොස් නැවත උත්සාහ කරන්න."
"A name is required.","නමක් අවශ්‍යයි."
"Please select a node.","කරුණාකර නෝඩයක් තෝරන්න."
"Please enter a new group name.","කරුණාකර නව කණ්ඩායම් නමක් ඇතුළත් කරන්න."
"An attribute group named ""/name/"" already exists.","""/name/"" නමින් ගුණාංග සමූහයක් දැනටමත් පවතී."
"Sorry, we're unable to complete this request.","සමාවන්න, අපට මෙම ඉල්ලීම සම්පූර්ණ කිරීමට නොහැකි විය."
"You can't remove attributes from this attribute set.","ඔබට මෙම උපලක්ෂණ කට්ටලයෙන් උපලක්ෂණ ඉවත් කළ නොහැක."
"Custom Options","අභිරුචි විකල්ප"
"This is a required option.","මෙය අවශ්ය විකල්පයකි."
"The field isn't complete.","ක්ෂේත්‍රය සම්පූර්ණ නැත."
"Compatible file extensions to upload","උඩුගත කිරීමට ගැළපෙන ගොනු දිගු"
"Maximum image width","රූපයේ උපරිම පළල"
"Maximum image height","උපරිම රූපය උස"
"Maximum number of characters:","උපරිම අක්ෂර ගණන:"
"start typing to search template","සෙවුම් අච්චුව සඳහා ටයිප් කිරීම ආරම්භ කරන්න"
"Product online","නිෂ්පාදනය අන්තර්ජාලයෙන්"
"Product offline","නිෂ්පාදන නොබැඳි"
"Product online status","නිෂ්පාදන මාර්ගගත තත්ත්වය"
"Manage Stock","කොටස් කළමනාකරණය කරන්න"
"Out-of-Stock Threshold","තොගයෙන් පිටත එළිපත්ත"
"Minimum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ අවම ප්‍රමාණයට අවසර ඇත"
"Maximum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ උපරිම ප්‍රමාණයට අවසර ඇත"
"Qty Uses Decimals","Qty දශම භාවිතා කරයි"
Backorders,පසුපෙළ
"Notify for Quantity Below","පහත ප්‍රමාණය සඳහා දැනුම් දෙන්න"
"Enable Qty Increments","Qty වැඩිවීම් සබල කරන්න"
"Qty Increments","Qty වර්ධක"
"Stock Availability","කොටස් ලබා ගැනීමේ හැකියාව"
"In Stock","ගබඩාවේ ඇත"
"Out of Stock","තොග අවසන්"
"Add Product To Websites","වෙබ් අඩවි වලට නිෂ්පාදන එක් කරන්න"
"Remove Product From Websites","වෙබ් අඩවි වලින් නිෂ්පාදන ඉවත් කරන්න"
"To hide an item in catalog or search results, set the status to ""Disabled"".","නාමාවලියෙහි හෝ සෙවුම් ප්‍රතිඵලවල අයිතමයක් සැඟවීමට, තත්ත්වය ""ආබාධිත"" ලෙස සකසන්න."
"Delete Custom Option","අභිරුචි විකල්පය මකන්න"
"Sort Custom Options","අභිරුචි විකල්ප වර්ග කරන්න"
"Sort Custom Option","අභිරුචි විකල්පය වර්ග කරන්න"
"Item Price","භාණ්ඩ මිල"
"and above","සහ ඉහත"
"Delete Tier","ස්ථරය මකන්න"
"Product In Websites","වෙබ් අඩවි වල නිෂ්පාදන"
"(Copy data from: %1)","(දත්ත පිටපත් කරන්න: %1)"
"Browse to find or drag image here","රූපය සෙවීමට බ්‍රවුස් කරන්න හෝ මෙතැනට ඇද දමන්න"
"Delete image","රූපය මකන්න"
Hidden,"සැඟවී ඇත"
"Alt Text","විකල්ප පෙළ"
Role,කාර්යභාරය
"Image Size","පින්තූරයේ ප්රමාණය"
"Image Resolution","රූප විභේදනය"
"Hide from Product Page","නිෂ්පාදන පිටුවෙන් සඟවන්න"
"Allow Multiple Boxes for Shipping","නැව්ගත කිරීම සඳහා බහු පෙට්ටිවලට ඉඩ දෙන්න"
"start typing to search attribute","ගුණාංග සෙවීමට ටයිප් කිරීම ආරම්භ කරන්න"
"Basic Settings","මූලික සැකසුම්"
"Advanced Settings","උසස් සැකසුම්"
"Buy %1 for: ","%1 මිලදී ගන්න: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","%2 බැගින් %1 මිල දී ගන්න සහ <strong class=""benefit"">ඉතිරි කරන්න<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","%2 බැගින් %1 මිලදී ගන්න"
"You added product %1 to the <a href=""%2"">comparison list</a>.","ඔබ නිෂ්පාදන %1 <a href=""%2"">සංසන්දන ලැයිස්තුවට</a>එකතු කළා."
"Shop By","සාප්පු සවාරි යන්න"
"Shopping Options","සාප්පු සවාරි විකල්ප"
"Compare Products","නිෂ්පාදන සසඳන්න"
"Print This Page","මෙම පිටුව මුද්‍රණය කරන්න"
"Remove Product","නිෂ්පාදනය ඉවත් කරන්න"
"Add to Wish List","පැතුම් ලැයිස්තුවට එක් කරන්න"
"You have no items to compare.","ඔබට සංසන්දනය කිරීමට අයිතම නොමැත."
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
Compare,සසඳන්න
"Clear All","සියල්ල හිස් කරන්න"
Prev,පෙර
"We can't find products matching the selection.","තේරීමට ගැළපෙන නිෂ්පාදන අපට සොයාගත නොහැක."
"Learn More","තවත් හදාරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"We found other products you might like!","ඔබ කැමති විය හැකි වෙනත් නිෂ්පාදන අපි සොයා ගත්තෙමු!"
"More Choices:","තවත් තේරීම්:"
"Check items to add to the cart or","කරත්තයට එකතු කිරීමට අයිතම පරීක්ෂා කරන්න හෝ"
"select all","සියල්ල තෝරන්න"
"Items %1-%2 of %3","අයිතම %1-%2 න් %3"
"%1 Item","%1 අයිතමය"
"%1 Items","%1 අයිතම"
Show,පෙන්වන්න
"Sort By","අනුව තෝරන්න"
"Set Ascending Direction","ආරෝහණ දිශාව සකසන්න"
"Set Descending Direction","බැසීමේ දිශාව සකසන්න"
"View as","වශයෙන් දක්වන්න"
"More Information","වැඩි විස්තර"
"Maximum %1 characters","උපරිම අක්ෂර %1 යි"
"Selected Attributes\:","තෝරාගත් ගුණාංග\:"
"We don't recognize or support this file extension type.","අපි මෙම ගොනු දිගු වර්ගය හඳුනා නොගනිමු."
"Configure Product","නිෂ්පාදනය වින්‍යාස කරන්න"
OK,හරි
"This value does not follow the specified format (for example, 200X300).","මෙම අගය නිශ්චිත ආකෘතිය අනුගමනය නොකරයි (උදාහරණයක් ලෙස, 200X300)."
"Select type of option.","විකල්ප වර්ගය තෝරන්න."
"Please add rows to option.","කරුණාකර විකල්පයට පේළි එක් කරන්න."
"Choose existing category.","පවතින කාණ්ඩය තෝරන්න."
"Image Detail","රූපයේ විස්තර"
Adding...,"එකතු කරමින්..."
Added,"එකතු කරන ලදී"
remaining,ඉතිරි
"too many","ඕනෑවට වඩා"
"does not implement Storage Interface","ගබඩා අතුරුමුහුණත ක්රියාත්මක නොකරයි"
"unselect all","සියල්ල තෝරා නොගන්න"
Inventory,ඉන්වෙන්ටරි
"Edit Product Design","නිෂ්පාදන නිර්මාණය සංස්කරණය කරන්න"
"Edit Category Design","ප්‍රවර්ග නිර්මාණය සංස්කරණය කරන්න"
"Catalog Section","නාමාවලි අංශය"
Small,කුඩා
Main,ප්රධාන
"Custom image","අභිරුචි රූපය"
"Date and Time","දිනය සහ වේලාව"
"Product Fields Auto-Generation","නිෂ්පාදන ක්ෂේත්‍ර ස්වයංක්‍රීය උත්පාදනය"
"Mask for SKU","SKU සඳහා වෙස් මුහුණ"
"Use {{name}} as Product Name placeholder","නිෂ්පාදන නාම තැන් දරන්නා ලෙස {{name}} භාවිතා කරන්න"
"Mask for Meta Title","මෙටා මාතෘකාව සඳහා වෙස් මුහුණ"
"Mask for Meta Keywords","මෙටා මූල පද සඳහා වෙස් මුහුණ"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","නිෂ්පාදන නාමය ලෙස {{name}} හෝ නිෂ්පාදන SKU ස්ථාන දරණ ලෙස {{sku}} භාවිතා කරන්න"
"Mask for Meta Description","මෙටා විස්තරය සඳහා වෙස් මුහුණ"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","නිෂ්පාදන නම සහ නිෂ්පාදන විස්තර ස්ථාන දරණ ලෙස {{name}} සහ {{description}} භාවිතා කරන්න"
"Recently Viewed/Compared Products","මෑතකදී බැලූ/සැසඳූ නිෂ්පාදන"
"Lifetime of products in Recently Viewed Widget","මෑතකදී බැලූ Widget හි නිෂ්පාදනවල ජීවිත කාලය"
"Lifetime of products in Recently Compared Widget","මෑතදී සසඳන ලද විජට් හි නිෂ්පාදනවල ආයු කාලය"
"Synchronize widget products with backend storage","පසුපෙළ ආචයනය සමඟ විජට් නිෂ්පාදන සමමුහුර්ත කරන්න"
Storefront,"වෙළඳසැල් ඉදිරිපිට"
"List Mode","ලැයිස්තු මාදිලිය"
"Products per Page on Grid Allowed Values","ජාල අවසර ලත් අගයන් මත පිටුවකට නිෂ්පාදන"
Comma-separated.,"කොමාවකින් වෙන් කරන ලද."
"Products per Page on Grid Default Value","ජාල පෙරනිමි අගය මත පිටුවකට නිෂ්පාදන"
"Must be in the allowed values list.","අවසර ලත් අගයන් ලැයිස්තුවේ තිබිය යුතුය."
"Products per Page on List Allowed Values","අවසර ලත් අගයන් ලැයිස්තුවේ පිටුවකට නිෂ්පාදන"
"Products per Page on List Default Value","ලැයිස්තුවේ පෙරනිමි අගය මත පිටුවකට නිෂ්පාදන"
"Use Flat Catalog Category","පැතලි නාමාවලි කාණ්ඩය භාවිතා කරන්න"
"Use Flat Catalog Product","පැතලි නාමාවලිය නිෂ්පාදනය භාවිතා කරන්න"
"Product Listing Sort by","නිෂ්පාදන ලැයිස්තුගත කිරීම අනුව වර්ග කරන්න"
"Applies to category pages.","ප්‍රවර්ග පිටු සඳහා අදාළ වේ."
"Allow All Products per Page","පිටුවකට සියලුම නිෂ්පාදන ඉඩ දෙන්න"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","""Show X Per Page"" පතන තුළ ""සියල්ල"" විකල්පය පෙන්විය යුතුද යන්න."
"Remember Category Pagination","Category Pagination මතක තබා ගන්න"
"Changing may affect SEO and cache storage consumption.","වෙනස් කිරීම SEO සහ හැඹිලි ගබඩා පරිභෝජනයට බලපෑ හැකිය."
"Product Image Placeholders","නිෂ්පාදන රූප ස්ථාන දරන්නන්"
"Page Title Separator","පිටු මාතෘකා බෙදුම්කරු"
"Use Canonical Link Meta Tag For Categories","ප්‍රවර්ග සඳහා කැනොනිකල් ලින්ක් මෙටා ටැගය භාවිතා කරන්න"
"Use Canonical Link Meta Tag For Products","නිෂ්පාදන සඳහා Canonical Link Meta Tag භාවිතා කරන්න"
"Catalog Price Scope","නාමාවලිය මිල විෂය පථය"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","මෙය මූලික මුදල් විෂය පථය නිර්වචනය කරයි (""මුදල් සැකසීම"" > ""මුදල් විකල්ප"" > ""පාදක මුදල්"")."
"Display Category Filter","ප්‍රවර්ග පෙරහන සංදර්ශන කරන්න"
"Category Top Navigation","ප්‍රවර්ගය ඉහළම සංචාලනය"
"Maximal Depth","උපරිම ගැඹුර"
"Date & Time Custom Options","දිනය සහ වේලාව අභිරුචි විකල්ප"
"Use JavaScript Calendar","JavaScript දින දර්ශනය භාවිතා කරන්න"
"Date Fields Order","දිනය ක්ෂේත්ර ඇණවුම"
"Time Format","කාල ආකෘතිය"
"Year Range","වසර පරාසය"
"Please use a four-digit year format.","කරුණාකර ඉලක්කම් හතරක වසර ආකෘතියක් භාවිතා කරන්න."
"Use Static URLs for Media Content in WYSIWYG","WYSIWYG හි මාධ්‍ය අන්තර්ගතය සඳහා ස්ථිතික URL භාවිතා කරන්න"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","මාධ්‍ය අන්තර්ගතය ස්ථිතික URL එකක් ලෙස සංස්කාරකයට ඇතුළත් කෙරේ. පද්ධති වින්‍යාස මූලික URL වෙනස් වුවහොත් මාධ්‍ය අන්තර්ගතය යාවත්කාලීන නොවේ."
"Top Level Category","ඉහළම මට්ටමේ කාණ්ඩය"
"Default Layouts","පෙරනිමි පිරිසැලසුම්"
"Default Product Layout","පෙරනිමි නිෂ්පාදන පිරිසැලසුම"
"Default Category Layout","පෙරනිමි ප්‍රවර්ග පිරිසැලසුම"
"Catalog media URL format","නාමාවලි මාධ්‍ය URL ආකෘතිය"
"Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://docs.magento.com/user-guide/configuration/general/web.html#url-options"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://devdocs.magento.com/guides/v2.4/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">use the CLI to regenerate images</a>.","ඔබගේ CDN හෝ වෙබ් සේවාදායකයේ විමසුම් පරාමිති මත පදනම්ව පින්තූර ප්‍රශස්ත කළ යුතුය. පසුගාමී ගැළපුම සඳහා ලෙගසි මාදිලිය භාවිතා කරන්න. <a href=""https://docs.magento.com/user-guide/configuration/general/web.html#url-options"">තව දැනගන්න</a> නාමාවලි URL ආකෘති ගැන.<br/><br/><strong style=""color:red"">අවවාදයයි!</strong> ඔබ නැවත උරුම ප්‍රකාරයට මාරු වන්නේ නම්, ඔබ <a href=""https://devdocs.magento.com/guides/v2.4/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">රූප නැවත උත්පාදනය කිරීමට CLI භාවිතා කළ යුතුය</a>."
Quality,ගුණාත්මක
"Jpeg quality for resized images 1-100%.","ප්‍රතිප්‍රමාණ කළ රූප සඳහා Jpeg ගුණත්වය 1-100%."
"Product Info Column","නිෂ්පාදන තොරතුරු තීරුව"
"Block after Info Column","තොරතුරු තීරුවෙන් පසු අවහිර කරන්න"
"Product Flat Data","නිෂ්පාදන පැතලි දත්ත"
"Reorganize EAV product structure to flat structure","EAV නිෂ්පාදන ව්‍යුහය පැතලි ව්‍යුහයට ප්‍රතිසංවිධානය කරන්න"
"Category Flat Data","ප්‍රවර්ගය පැතලි දත්ත"
"Reorganize EAV category structure to flat structure","EAV කාණ්ඩයේ ව්‍යුහය පැතලි ව්‍යුහයට ප්‍රතිසංවිධානය කරන්න"
"Category Products","කාණ්ඩයේ නිෂ්පාදන"
"Indexed category/products association","සුචිගත කළ කාණ්ඩය/නිෂ්පාදන සංගමය"
"Product Categories","නිෂ්පාදන කාණ්ඩ"
"Indexed product/categories association","සුචිගත නිෂ්පාදන/කාණ්ඩ සංගමය"
"Product Price","නිෂ්පාදන මිල"
"Index product prices","දර්ශක නිෂ්පාදන මිල"
"Product EAV","නිෂ්පාදන EAV"
"Index product EAV","දර්ශක නිෂ්පාදනය EAV"
"Catalog New Products List","නාමාවලිය නව නිෂ්පාදන ලැයිස්තුව"
"List of Products that are set as New","නව ලෙස සකසා ඇති නිෂ්පාදන ලැයිස්තුව"
"Display Type","සංදර්ශක වර්ගය"
"All products - recently added products, New products - products marked as new","සියලුම නිෂ්පාදන - මෑතකදී එකතු කරන ලද නිෂ්පාදන, නව නිෂ්පාදන - නව ලෙස සලකුණු කරන ලද නිෂ්පාදන"
"All products","සියලුම නිෂ්පාදන"
"New products","නව නිෂ්පාදන"
"Display Page Control","සංදර්ශක පිටු පාලනය"
"Number of Products per Page","පිටුවකට නිෂ්පාදන ගණන"
"Number of Products to Display","ප්‍රදර්ශනය කළ යුතු නිෂ්පාදන ගණන"
Template,සැකිල්ල
"New Products Grid Template","නව නිෂ්පාදන ජාල සැකිල්ල"
"New Products List Template","නව නිෂ්පාදන ලැයිස්තු සැකිල්ල"
"New Products Images and Names Template","නව නිෂ්පාදන රූප සහ නම් සැකිල්ල"
"New Products Names Only Template","නව නිෂ්පාදන නම් පමණක් සැකිල්ල"
"New Products Images Only Template","නව නිෂ්පාදන රූප පමණක් සැකිල්ල"
"Cache Lifetime (Seconds)","හැඹිලි ආයු කාලය (තත්පර)"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","විජට් යාවත්කාලීන අතර තත්පර 
                    කාලය.
                    <br/>සකසා නොමැති නම්, තත්පර 86400 (පැය 24) ට සමාන වේ. විජට් ක්ෂණිකව යාවත්කාලීන කිරීමට, හැඹිලි කළමනාකරණය වෙත ගොස් බ්ලොක් HTML ප්‍රතිදාන හැඹිලි ඉවත් කරන්න.
                    <br/>Widget හැඹිලිය නැවුම් කරන තෙක් නිශ්චිත කොන්දේසි වලට ගැලපෙන නිෂ්පාදන නොපෙන්වයි.
                "
"Catalog Product Link","නාමාවලි නිෂ්පාදන සබැඳිය"
"Link to a Specified Product","නිශ්චිත නිෂ්පාදනයක් වෙත සබැඳිය"
"Select Product...","නිෂ්පාදනය තෝරන්න..."
"Anchor Custom Text","ඇන්කර් අභිරුචි පෙළ"
"If empty, we'll use the product name here.","හිස් නම්, අපි මෙහි නිෂ්පාදන නාමය භාවිතා කරන්නෙමු."
"Anchor Custom Title","නැංගුරම් අභිරුචි මාතෘකාව"
"Product Link Block Template","නිෂ්පාදන සබැඳි බ්ලොක් අච්චුව"
"Product Link Inline Template","නිෂ්පාදන සබැඳි පේළි සැකිල්ල"
"Catalog Category Link","නාමාවලි කාණ්ඩ සබැඳිය"
"Link to a Specified Category","නිශ්චිත කාණ්ඩයකට සබැඳිය"
"Select Category...","වර්ගය තෝරන්න..."
"If empty, we'll use the category name here.","හිස් නම්, අපි මෙහි ප්‍රවර්ග නාමය භාවිත කරන්නෙමු."
"Category Link Block Template","ප්‍රවර්ග සබැඳි බ්ලොක් අච්චුව"
"Category Link Inline Template","ප්‍රවර්ග සබැඳිය පේළිගත අච්චුව"
"Recently Viewed Products","මෑතකදී නැරඹූ නිෂ්පාදන"
"List of Products Recently Viewed by Visitor","අමුත්තන් විසින් මෑතකදී බැලූ නිෂ්පාදන ලැයිස්තුව"
"UI Component","UI සංරචකය"
"Number of Products to display","ප්‍රදර්ශනය කළ යුතු නිෂ්පාදන ගණන"
"Product attributes to show","පෙන්වීමට නිෂ්පාදන ගුණාංග"
Image,රූප
"Learn More Link","වැඩිදුර ඉගෙන ගන්න සබැඳිය"
"Buttons to show","පෙන්වීමට බොත්තම්"
"Add to Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Viewed Products Grid Template","නිෂ්පාදන ජාල සැකිල්ල බැලුවා"
"Viewed Products List Template","නිෂ්පාදන ලැයිස්තු සැකිල්ල බැලුවා"
"Viewed Products Sidebar Template","නිෂ්පාදන පැති තීරු අච්චුව බැලුවා"
"Recently Compared Products","මෑතකදී සසඳන ලද නිෂ්පාදන"
"List of Products Recently Compared by Visitor","අමුත්තන් විසින් මෑතකදී සසඳන ලද නිෂ්පාදන ලැයිස්තුව"
"Compared Products Grid Template","සසඳන ලද නිෂ්පාදන ජාල සැකිල්ල"
"Compared Products List Template","සසඳන ලද නිෂ්පාදන ලැයිස්තු සැකිල්ල"
Set,සකසන්න
"Category Information","කාණ්ඩ තොරතුරු"
"Enable Category","ප්‍රවර්ගය සබල කරන්න"
"Include in Menu","මෙනුවේ ඇතුළත් කරන්න"
"Category Image","ප්රවර්ග රූපය"
"Add CMS Block","CMS බ්ලොක් එක් කරන්න"
"Display Settings","සංදර්ශක සැකසුම්"
"Display Mode","සංදර්ශක මාදිලිය"
Anchor,නැංගුරම
"Available Product Listing Sort By","ලබා ගත හැකි නිෂ්පාදන ලැයිස්තුගත කිරීම"
"Use All","සියල්ල භාවිතා කරන්න"
"Default Product Listing Sort By","පෙරනිමි නිෂ්පාදන ලැයිස්තුගත කිරීම"
"Layered Navigation Price Step","ස්ථර සංචාලන මිල පියවර"
"URL Key","URL යතුර"
"Meta Title","මෙටා මාතෘකාව"
"Meta Keywords","මෙටා මූල පද"
"Meta Description","මෙටා විස්තරය"
"Products in Category","කාණ්ඩයේ නිෂ්පාදන"
Theme,තේමාව
Layout,පිරිසැලසුම
"Layout Update XML","පිරිසැලසුම යාවත්කාලීන XML"
"Custom Layout Update","අභිරුචි පිරිසැලසුම් යාවත්කාලීන කිරීම"
"Apply Design to Products","නිෂ්පාදන සඳහා නිර්මාණය යොදන්න"
